avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_trigger_price,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_price,opening_rel_volume,outcome_ambiguous,passed_filters,pnl_r,position_value,quantity,rank,rejection_reason,risk_amount,scenario,selected,session_date,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time
151873171.35714287,109240.71428571429,True,bearish,-250.0,zero,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-250.0,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-1.0,84995.33944440552,417.8420443153431,3,None,250.0,research_fidelity,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
151873171.35714287,109240.71428571429,True,bearish,-471.31288255545326,baseline,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-250.0,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-1.8852515302218131,84995.33944440552,417.8420443153431,3,None,250.0,research_fidelity,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
151873171.35714287,109240.71428571429,True,bearish,-692.6257651109064,stressed,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-250.0,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-2.770503060443626,84995.33944440552,417.8420443153431,3,None,250.0,research_fidelity,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
151873171.35714287,109240.71428571429,True,bearish,-58.82675488660696,zero,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-58.82675488660696,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-1.0,20000.0,98.32116608902982,3,None,58.82675488660696,intended_deployment,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
151873171.35714287,109240.71428571429,True,bearish,-110.9032296679593,baseline,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-58.82675488660696,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-1.8852515302218131,20000.0,98.32116608902982,3,None,58.82675488660696,intended_deployment,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
151873171.35714287,109240.71428571429,True,bearish,-162.9797044493116,stressed,5.983122172629669,short,203.415,204.01331221726295,stop,2026-07-10 13:41:00,-58.82675488660696,2026-07-10 13:35:00,203.555,1.0700589131472436,False,True,-2.770503060443626,20000.0,98.32116608902982,3,None,58.82675488660696,intended_deployment,True,2026-07-10,203.415,True,204.01331221726295,NVDA,2026-07-10 13:40:00
42475177.428571425,18094.571428571428,True,bearish,1511.998162874426,zero,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,1511.998162874426,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,6.0479926514977045,64669.955322264665,160.16929691466382,1,None,249.99999999999997,research_fidelity,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
42475177.428571425,18094.571428571428,True,bearish,1345.8218766482728,baseline,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,1511.998162874426,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,5.383287506593092,64669.955322264665,160.16929691466382,1,None,249.99999999999997,research_fidelity,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
42475177.428571425,18094.571428571428,True,bearish,1179.6455904221284,stressed,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,1511.998162874426,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,4.718582361688514,64669.955322264665,160.16929691466382,1,None,249.99999999999997,research_fidelity,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
42475177.428571425,18094.571428571428,True,bearish,467.60451753516935,zero,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,467.60451753516935,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,6.047992651497705,20000.0,49.53437685753914,1,None,77.3156557026195,intended_deployment,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
