cost_model,date,mode,portfolio,reason,symbol
baseline,2026-05-29,stock_only,current_1pct,max_positions,MU
baseline,2026-05-29,stock_only,current_1pct,max_positions,AVGO
baseline,2026-05-29,stock_only,current_1pct,already_held_or_pending,QCOM
baseline,2026-05-29,stock_only,current_1pct,max_positions,SPY
baseline,2026-05-29,stock_only,current_1pct,max_positions,AAPL
baseline,2026-05-29,stock_only,current_1pct,max_positions,GILD
baseline,2026-05-29,stock_only,current_1pct,max_positions,QQQ
baseline,2026-06-01,stock_only,current_1pct,max_positions,AVGO
baseline,2026-06-01,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-06-01,stock_only,current_1pct,max_positions,C
baseline,2026-06-01,stock_only,current_1pct,max_positions,LULU
baseline,2026-06-01,stock_only,current_1pct,max_positions,DXCM
baseline,2026-06-02,stock_only,current_1pct,max_positions,WFC
baseline,2026-06-02,stock_only,current_1pct,max_positions,AVGO
baseline,2026-06-03,stock_only,current_1pct,max_positions,XLI
baseline,2026-06-03,stock_only,current_1pct,max_positions,AMD
baseline,2026-06-03,stock_only,current_1pct,max_positions,ABT
baseline,2026-06-04,stock_only,current_1pct,max_positions,ABBV
baseline,2026-06-04,stock_only,current_1pct,max_positions,TJX
baseline,2026-06-04,stock_only,current_1pct,max_positions,AXON
baseline,2026-06-04,stock_only,current_1pct,max_positions,MMM
baseline,2026-06-04,stock_only,current_1pct,max_positions,UPS
baseline,2026-06-04,stock_only,current_1pct,max_positions,XLB
baseline,2026-06-04,stock_only,current_1pct,max_positions,XLI
baseline,2026-06-05,stock_only,current_1pct,max_positions,SPGI
baseline,2026-06-08,stock_only,current_1pct,already_held_or_pending,LLY
baseline,2026-06-08,stock_only,current_1pct,max_positions,BAC
baseline,2026-06-08,stock_only,current_1pct,max_positions,C
baseline,2026-06-08,stock_only,current_1pct,max_positions,GM
baseline,2026-06-08,stock_only,current_1pct,max_positions,MS
baseline,2026-06-09,stock_only,current_1pct,max_positions,AMAT
baseline,2026-06-09,stock_only,current_1pct,max_positions,XLV
baseline,2026-06-09,stock_only,current_1pct,max_positions,ABT
baseline,2026-06-09,stock_only,current_1pct,max_positions,MDLZ
baseline,2026-06-09,stock_only,current_1pct,max_positions,WFC
baseline,2026-06-09,stock_only,current_1pct,max_positions,JPM
baseline,2026-06-09,stock_only,current_1pct,max_positions,RTX
baseline,2026-06-10,stock_only,current_1pct,max_positions,USB
baseline,2026-06-10,stock_only,current_1pct,max_positions,BAC
baseline,2026-06-10,stock_only,current_1pct,max_positions,SCHW
baseline,2026-06-10,stock_only,current_1pct,max_positions,XLRE
baseline,2026-06-10,stock_only,current_1pct,max_positions,AMAT
baseline,2026-06-10,stock_only,current_1pct,max_positions,MDLZ
baseline,2026-06-10,stock_only,current_1pct,max_positions,WFC
baseline,2026-06-10,stock_only,current_1pct,max_positions,XLF
baseline,2026-06-11,stock_only,current_1pct,max_positions,AMAT
baseline,2026-06-11,stock_only,current_1pct,max_positions,WMT
baseline,2026-06-11,stock_only,current_1pct,max_positions,C
baseline,2026-06-11,stock_only,current_1pct,max_positions,HD
baseline,2026-06-12,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-06-12,stock_only,current_1pct,max_positions,HD
baseline,2026-06-12,stock_only,current_1pct,max_positions,IBB
baseline,2026-06-12,stock_only,current_1pct,max_positions,LIN
baseline,2026-06-12,stock_only,current_1pct,max_positions,MCD
baseline,2026-06-12,stock_only,current_1pct,max_positions,WFC
baseline,2026-06-12,stock_only,current_1pct,max_positions,XLI
baseline,2026-06-12,stock_only,current_1pct,max_positions,XLRE
baseline,2026-06-12,stock_only,current_1pct,max_positions,AXP
baseline,2026-06-12,stock_only,current_1pct,max_positions,PG
baseline,2026-06-12,stock_only,current_1pct,max_positions,GE
baseline,2026-06-15,stock_only,current_1pct,max_positions,GE
baseline,2026-06-15,stock_only,current_1pct,already_held_or_pending,MRVL
baseline,2026-06-15,stock_only,current_1pct,max_positions,V
baseline,2026-06-15,stock_only,current_1pct,max_positions,C
baseline,2026-06-15,stock_only,current_1pct,max_positions,XLB
baseline,2026-06-15,stock_only,current_1pct,max_positions,PFE
baseline,2026-06-15,stock_only,current_1pct,max_positions,UNH
baseline,2026-06-15,stock_only,current_1pct,max_positions,XLU
baseline,2026-06-15,stock_only,current_1pct,max_positions,MA
baseline,2026-06-15,stock_only,current_1pct,max_positions,SHW
baseline,2026-06-15,stock_only,current_1pct,max_positions,CL
baseline,2026-06-15,stock_only,current_1pct,max_positions,MCD
baseline,2026-06-15,stock_only,current_1pct,max_positions,NKE
baseline,2026-06-15,stock_only,current_1pct,max_positions,PG
baseline,2026-06-16,stock_only,current_1pct,max_positions,MA
baseline,2026-06-16,stock_only,current_1pct,max_positions,UPS
baseline,2026-06-16,stock_only,current_1pct,max_positions,MCD
