ambiguous,atr,conviction,cost_model,decision_time,delta1_expiration_sessions,delta2_enabled,delta3_enabled,entry,exit_price,exit_reason,exit_time,expires_at,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reason,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost,variant_id
False,3.174535964855586,92,zero,2023-02-08 16:16:00,,False,False,339.85,335.08,stop,2023-02-08 18:38:00,,339.85,2023-02-08 16:16:00,335.08,-252.81000000000205,stock,stock_only,-252.81000000000205,False,-1.0,safe_0_25pct,53,,18012.050000000003,252.81000000000205,2023-02-08 16:00:00,closed,335.08,stock_trend_momentum_v2,LIN,349.39,0.0,d1_off_d2_off_d3_off
False,1.6889616934076817,92,zero,2023-02-09 16:16:00,,False,False,141.55,139.01,stop,2023-02-09 20:58:00,,141.3,2023-02-09 16:16:00,139.01,-226.71000000000203,stock,stock_only,-226.71000000000203,False,-0.9015748031496071,safe_0_25pct,99,,14013.45,251.46000000000203,2023-02-09 16:00:00,closed,139.01,stock_trend_momentum_v2,ZS,146.63,0.0,d1_off_d2_off_d3_off
False,0.3159521154391672,87,zero,2023-02-09 16:16:00,,False,False,37.27,36.79,stop,2023-02-09 17:46:00,,37.23,2023-02-09 16:16:00,36.79,-231.4399999999988,stock,stock_only,-231.4399999999988,False,-0.9166666666666543,safe_0_25pct,526,,19604.02,252.4800000000021,2023-02-09 16:00:00,closed,36.79,stock_trend_momentum_v2,NFLX,38.23,0.0,d1_off_d2_off_d3_off
False,0.9660430624318121,87,zero,2023-02-10 16:16:00,,False,False,174.75,177.65,target,2023-02-13 16:03:00,,174.7,2023-02-10 16:16:00,176.23,339.25000000000193,stock,stock_only,339.25000000000193,False,2.034482758620717,safe_0_25pct,115,,20096.25,166.7499999999987,2023-02-10 16:00:00,closed,173.3,stock_trend_momentum_v2,PEP,177.65,0.0,d1_off_d2_off_d3_off
False,2.8598862469120854,92,zero,2023-02-13 16:16:00,,False,False,484.41,480.12,stop,2023-02-13 20:19:00,,482.55,2023-02-13 16:16:00,480.12,-99.63000000000028,stock,stock_only,-99.63000000000028,False,-0.5664335664335653,safe_0_25pct,41,,19860.81,175.89000000000084,2023-02-13 16:00:00,closed,480.12,stock_trend_momentum_v2,LMT,492.99,0.0,d1_off_d2_off_d3_off
False,1.0372501335332498,87,zero,2023-02-14 16:16:00,,False,False,84.46,84.13,stop,2023-02-15 14:53:00,,84.46,2023-02-14 16:28:00,84.13,-53.129999999999725,stock,stock_only,-53.129999999999725,False,-0.21153846153846206,safe_0_25pct,161,,13598.06,251.1599999999981,2023-02-14 16:00:00,closed,82.9,stock_trend_momentum_v2,AMD,87.58,0.0,d1_off_d2_off_d3_off
False,0.32746118218305026,87,zero,2023-02-14 16:16:00,,False,False,42.32,42.22,stop,2023-02-15 14:30:00,,42.32,2023-02-14 16:29:00,42.22,-47.600000000000676,stock,stock_only,-47.600000000000676,False,-0.20000000000000284,safe_0_25pct,476,,20144.32,238.0,2023-02-14 16:00:00,closed,41.82,stock_trend_momentum_v2,GM,43.32,0.0,d1_off_d2_off_d3_off
False,0.3623627412046391,92,zero,2023-02-15 16:16:00,,False,False,35.15,35.59,stop,2023-02-16 14:30:00,,35.15,2023-02-15 16:23:00,35.59,201.0800000000022,stock,stock_only,201.0800000000022,False,0.8000000000000128,safe_0_25pct,457,,16063.55,251.34999999999872,2023-02-15 16:00:00,closed,34.6,stock_trend_momentum_v2,UBER,36.25,0.0,d1_off_d2_off_d3_off
False,3.562271966325332,86,zero,2023-02-15 16:16:00,,False,False,210.1,211.63,stop,2023-02-16 17:56:00,,210.1,2023-02-15 19:58:00,211.63,71.91000000000005,stock,stock_only,71.91000000000005,False,0.2859813084112155,safe_0_25pct,47,,9874.699999999999,251.44999999999973,2023-02-15 16:00:00,closed,204.75,stock_trend_momentum_v2,TSLA,220.8,0.0,d1_off_d2_off_d3_off
False,0.7516451348342466,92,zero,2023-02-16 16:16:00,,False,False,50.85,49.72,stop,2023-02-21 15:38:00,,50.85,2023-02-16 16:17:00,49.72,-251.99000000000058,stock,stock_only,-251.99000000000058,False,-1.0,safe_0_25pct,223,,11339.550000000001,251.99000000000058,2023-02-16 16:00:00,closed,49.72,stock_trend_momentum_v2,CSCO,53.11,0.0,d1_off_d2_off_d3_off
False,0.44812771813583596,71,zero,2023-02-16 16:16:00,,False,False,84.4,83.72,stop,2023-02-17 14:54:00,,84.4,2023-02-16 20:28:00,83.72,-162.52000000000163,stock,stock_only,-162.52000000000163,False,-1.0,safe_0_25pct,239,,20171.600000000002,162.52000000000163,2023-02-16 16:00:00,closed,83.72,stock_trend_momentum_v2,MDT,85.76,0.0,d1_off_d2_off_d3_off
False,2.636727320479007,87,zero,2023-02-21 16:16:00,,False,False,496.92,492.96,stop,2023-02-21 18:10:00,,496.92,2023-02-21 16:16:00,492.96,-158.40000000000146,stock,stock_only,-158.40000000000146,False,-1.0,safe_0_25pct,40,,19876.8,158.40000000000146,2023-02-21 16:00:00,closed,492.96,stock_trend_momentum_v2,UNH,504.84,0.0,d1_off_d2_off_d3_off
False,1.057344275186594,79,zero,2023-02-21 16:16:00,,False,False,269.37,267.78,stop,2023-02-22 20:28:00,,269.37,2023-02-21 16:19:00,267.78,-117.66000000000236,stock,stock_only,-117.66000000000236,False,-1.0,safe_0_25pct,74,,19933.38,117.66000000000236,2023-02-21 16:00:00,closed,267.78,stock_trend_momentum_v2,MCD,272.55,0.0,d1_off_d2_off_d3_off
False,0.18671824484287713,81,zero,2023-02-23 16:16:00,,False,False,60.25,59.96,stop,2023-02-23 16:27:00,,60.08,2023-02-23 16:16:00,59.96,-39.83999999999915,stock,stock_only,-39.83999999999915,False,-0.41379310344826825,safe_0_25pct,332,,20003.0,96.27999999999972,2023-02-23 16:00:00,closed,59.96,stock_trend_momentum_v2,KO,60.83,0.0,d1_off_d2_off_d3_off
False,0.8560730768008673,79,zero,2023-02-23 16:16:00,,False,False,152.66,151.37,stop,2023-02-23 16:59:00,,152.1786,2023-02-23 16:16:00,151.37,-105.92659999999793,stock,stock_only,-105.92659999999793,False,-0.6268217054263482,safe_0_25pct,131,,19998.46,168.98999999999896,2023-02-23 16:00:00,closed,151.37,stock_trend_momentum_v2,ABBV,155.24,0.0,d1_off_d2_off_d3_off
False,0.9008628186672971,87,zero,2023-02-27 16:16:00,,False,False,95.22,93.86,stop,2023-03-01 14:30:00,,94.9,2023-02-27 16:16:00,93.86,-190.32000000000113,stock,stock_only,-190.32000000000113,False,-0.7647058823529461,safe_0_25pct,183,,17425.26,248.87999999999988,2023-02-27 16:00:00,closed,93.86,stock_trend_momentum_v2,PANW,97.94,0.0,d1_off_d2_off_d3_off
False,1.9331919472544674,71,zero,2023-02-27 16:16:00,,False,False,479.86,476.96,stop,2023-02-28 14:30:00,,479.43,2023-02-27 16:16:00,476.96,-101.27000000000112,stock,stock_only,-101.27000000000112,False,-0.8517241379310339,safe_0_25pct,41,,19674.260000000002,118.9000000000014,2023-02-27 16:00:00,closed,476.96,stock_trend_momentum_v2,LMT,485.66,0.0,d1_off_d2_off_d3_off
False,0.5164373547193157,87,zero,2023-02-28 16:16:00,,False,False,85.01,84.23,stop,2023-03-01 15:05:00,,85.01,2023-02-28 19:19:00,84.23,-183.30000000000027,stock,stock_only,-183.30000000000027,False,-1.0,safe_0_25pct,235,,19977.350000000002,183.30000000000027,2023-02-28 16:00:00,closed,84.23,stock_trend_momentum_v2,GE,86.57,0.0,d1_off_d2_off_d3_off
False,1.712493816050632,84,zero,2023-02-28 16:16:00,,False,False,197.91,203.05,target,2023-03-01 14:30:00,,197.91,2023-02-28 17:05:00,198.27,498.5800000000014,stock,stock_only,498.5800000000014,False,2.000000000000011,safe_0_25pct,97,,19197.27,249.28999999999934,2023-02-28 16:00:00,closed,195.34,stock_trend_momentum_v2,AXON,203.05,0.0,d1_off_d2_off_d3_off
False,0.41576146303233674,92,zero,2023-03-03 16:16:00,,False,False,43.55,42.92,stop,2023-03-06 14:30:00,,43.55,2023-03-03 16:19:00,42.92,-250.1099999999982,stock,stock_only,-250.1099999999982,False,-1.0,safe_0_25pct,397,,17289.35,250.1099999999982,2023-03-03 16:00:00,closed,42.92,stock_trend_momentum_v2,FCX,44.81,0.0,d1_off_d2_off_d3_off
False,0.2807248892123231,87,zero,2023-03-03 16:16:00,,False,False,51.85,51.47,monitor_reversal,2023-03-07 16:30:00,,51.8,2023-03-07 14:30:00,51.42,-127.37999999999934,stock,stock_only,-127.37999999999934,False,-0.7674418604651128,safe_0_25pct,386,,20014.100000000002,165.9799999999999,2023-03-03 16:00:00,closed,51.42,stock_trend_momentum_v2,C,52.71,0.0,d1_off_d2_off_d3_off
False,0.46225389132170563,92,zero,2023-03-06 16:16:00,,False,False,32.17,31.47,stop,2023-03-07 15:07:00,,32.17,2023-03-06 16:30:00,31.47,-249.200000000001,stock,stock_only,-249.200000000001,False,-1.0,safe_0_25pct,356,,11452.52,249.200000000001,2023-03-06 16:00:00,closed,31.47,stock_trend_momentum_v2,CRWD,33.57,0.0,d1_off_d2_off_d3_off
False,2.1072348705619377,73,zero,2023-03-07 16:16:00,,False,False,480.32,486.66,target,2023-03-08 14:35:00,,478.93,2023-03-07 16:16:00,479.42,316.93000000000075,stock,stock_only,316.93000000000075,False,2.438485804416397,safe_0_25pct,41,,19693.12,129.97000000000065,2023-03-07 16:00:00,closed,477.15,stock_trend_momentum_v2,LMT,486.66,0.0,d1_off_d2_off_d3_off
False,0.627069893908088,79,zero,2023-03-08 16:16:00,,False,False,61.8,61.75,stop,2023-03-09 17:15:00,,61.5479,2023-03-08 16:16:00,61.75,52.95020000000039,stock,stock_only,52.95020000000039,False,0.21273684210526567,safe_0_25pct,262,,16191.599999999999,248.8999999999989,2023-03-08 16:00:00,closed,60.85,stock_trend_momentum_v2,OXY,63.7,0.0,d1_off_d2_off_d3_off
False,2.294033704328945,73,zero,2023-03-08 16:16:00,,False,False,481.01,477.56,stop,2023-03-08 18:28:00,,480.74,2023-03-08 16:16:00,477.56,-130.38000000000028,stock,stock_only,-130.38000000000028,False,-0.9217391304347876,safe_0_25pct,41,,19721.41,141.44999999999953,2023-03-08 16:00:00,closed,477.56,stock_trend_momentum_v2,LMT,487.91,0.0,d1_off_d2_off_d3_off
False,0.8027435164745269,92,zero,2023-03-09 16:16:00,,False,False,86.62,85.41,stop,2023-03-09 17:48:00,,86.62,2023-03-09 17:02:00,85.41,-249.26000000000164,stock,stock_only,-249.26000000000164,False,-1.0,safe_0_25pct,206,,17843.72,249.26000000000164,2023-03-09 16:00:00,closed,85.41,stock_trend_momentum_v2,AMD,89.04,0.0,d1_off_d2_off_d3_off
False,1.291918697037911,87,zero,2023-03-09 16:16:00,,False,False,212.17,210.23,stop,2023-03-09 18:17:00,,212.17,2023-03-09 16:19:00,210.23,-182.3599999999998,stock,stock_only,-182.3599999999998,False,-1.0,safe_0_25pct,94,,19943.98,182.3599999999998,2023-03-09 16:00:00,closed,210.23,stock_trend_momentum_v2,FDX,216.05,0.0,d1_off_d2_off_d3_off
False,1.218156993471482,87,zero,2023-03-14 15:16:00,,False,False,152.65,150.82,stop,2023-03-14 17:44:00,,152.65,2023-03-14 16:01:00,150.82,-237.90000000000163,stock,stock_only,-237.90000000000163,False,-1.0,safe_0_25pct,130,,19844.5,237.90000000000163,2023-03-14 15:00:00,closed,150.82,stock_trend_momentum_v2,AAPL,156.31,0.0,d1_off_d2_off_d3_off
