symbol,mfe_r,mae_r,missing,net_pnl,group
ABBV,0.5103092783505208,0.8659793814433036,False,-149.19021000000052,loser
MRK,1.6302083333333175,0.13541666666667562,False,67.02998249999942,winner
MU,0.08403361344538547,1.0420168067226867,False,-320.55688999999944,loser
PFE,0.41269841269841917,0.8095238095238031,False,-201.96179999999927,loser
GILD,0.8214285714285703,0.8642857142857252,False,-186.4873999999995,loser
VZ,0.8709090909091004,0.3563636363636313,False,-69.67815000000034,loser
VZ,0.12121212121211926,0.8484848484848563,False,-107.56752000000074,loser
XOM,0.2105263157894691,1.3947368421052655,False,-239.31452000000013,loser
CVX,0.08968609865470269,1.0313901345291447,False,-254.50653000000196,loser
GLD,0.271917808219176,1.7260273972602858,False,-93.97907999999892,loser
BMY,1.6111111111111287,0.41666666666666335,False,55.01986000000053,winner
COP,2.3777777777777938,0.3037037037037025,False,509.59260000000046,winner
CVX,1.88832487309642,0.2588832487309707,False,179.3833600000006,winner
BAC,1.5102040816326365,0.34693877551020613,False,152.22647999999813,winner
BMY,0.0847457627118591,1.2711864406779587,False,-156.8871750000008,loser
CRWD,2.119266055045881,0.12844036697247802,False,970.91532,winner
XLV,1.4337349397590118,0.2891566265060307,False,-21.093300000001413,loser
CVX,0.07475862068964814,0.5524827586206879,False,-81.3334916499993,loser
MA,1.6866197183098632,0.15375586854459486,False,-9.809212499998957,loser
AMZN,0.8251121076233184,0.6008968609865412,False,-90.85971999999846,loser
MSFT,0.06906906906907487,0.6816816816816795,False,-164.90609499999985,loser
GM,0.06603773584905002,1.8867924528301847,False,-270.0968750000005,loser
QCOM,0.6885245901639354,0.8579234972677633,False,-112.46413500000236,loser
AMT,1.0121951219512084,0.15040650406504202,False,-66.35134000000247,loser
MPC,2.1639344262295106,0.18032786885245825,False,406.0411800000021,winner
FCX,1.369230769230773,0.20000000000000437,False,45.049394999998256,winner
LIN,0.08560311284047777,0.6400778210116678,False,-95.39749999999876,loser
NOW,0.0729166666666669,1.0156250000000007,False,-365.75937000000033,loser
CVX,2.0729927007299227,0.25547445255473955,False,263.6295300000009,winner
UBER,0.45535714285713924,0.9107142857142785,False,-372.7213,loser
SLB,0.8695652173913093,1.173913043478268,False,-277.0368749999992,loser
CRM,0.2851063829787153,1.0255319148936057,False,-235.67457500000197,loser
TSLA,0.16600790513834052,0.7905138339920945,False,-297.5220850000009,loser
GILD,0.45161290322581016,1.016129032258073,False,-196.67519999999928,loser
BA,0.0266789667896725,0.4635424354243554,False,-163.6826751000007,loser
GM,0.00847457627119083,0.6440677966101779,False,-200.0994974999984,loser
MCD,2.0171673819742333,0.8495278969957029,False,321.9475199999997,winner
XLU,1.4444444444444298,0.37037037037034504,False,23.230320000002788,winner
PEP,0.9847328244274945,0.32824427480917207,False,-39.54636000000184,loser
KO,1.6470588235294248,0.39215686274510514,False,21.67488000000016,winner
MRNA,1.9999999999999927,0.6201550387596907,False,918.0136899999976,winner
MRNA,2.5227817745803285,0.43884892086330385,False,1202.7262100000028,winner
NET,2.000000000000005,0.20270270270270122,False,1120.6965000000005,winner
AAPL,2.484276729559754,0.28930817610061543,False,488.1747750000006,winner
NET,2.018987341772148,0.6265822784810118,False,667.3992299999998,winner
OXY,1.5061344537815133,0.4014285714285711,False,9.522190350000496,winner
WFC,1.206521739130432,1.0652173913043501,False,-236.4574300000004,loser
KHC,2.031250000000016,0.8749999999999806,False,297.5940000000003,winner
WMT,0.3333333333333421,1.0,False,-141.27484500000142,loser
MRK,0.4222222222222145,1.0444444444444354,False,-199.74978000000115,loser
V,0.8967136150234625,0.9718309859154922,False,-72.17768000000115,loser
CSCO,0.0750000000000031,1.0,False,-192.87899999999937,loser
HD,0.17143730886850628,0.5993883792048796,False,-144.23857500000045,loser
MRVL,2.1999999999999935,0.28235294117647247,False,655.6772600000011,winner
SOXX,2.6740740740740567,0.0740740740740694,False,400.9997250000012,winner
AMZN,0.15921052631578198,1.0986842105263095,False,-269.7469500000017,loser
HD,0.009900990099000799,1.0165016501650201,False,-212.7132800000019,loser
BA,2.1701838235294186,0.23422794117646162,False,704.3547583500008,winner
QCOM,2.1749999999999625,0.03750000000000089,False,396.8743999999985,winner
MRNA,0.21731884057971446,0.2500724637681055,False,-55.06265129999998,loser
IBB,1.0008333333333255,1.0241666666666636,False,-194.8568985000001,loser
V,1.8269230769230578,0.12980769230769645,False,106.3572249999997,winner
XLV,0.0,0.8461538461538562,False,-99.98278500000168,loser
DIA,0.0,0.9265734265734142,False,-84.69553250000054,loser
BAC,0.5606060606060583,1.1363636363636178,False,-137.66507500000048,loser
C,0.5566037735849076,0.09433962264151728,False,-31.54950000000133,loser
COP,0.13636363636363,0.3257575757575791,False,-108.32536000000142,loser
XLV,2.119402985074558,0.4850746268656432,False,176.4439200000005,winner
DVN,2.4583333333333304,0.09375000000000347,False,688.0800499999982,winner
MDT,1.2250000000000094,0.06249999999999667,False,13.8782199999993,winner
DVN,2.095238095238104,0.0421904761904761,False,658.6906700000004,winner
TSLA,2.1270161290322447,0.17540322580645124,False,664.9392000000012,winner
AAPL,0.4503816793893148,1.015267175572516,False,-333.73200000000054,loser
AMAT,0.7614871794871764,0.7153846153846123,False,-277.3829874999993,loser
AMAT,0.31578947368421273,1.2456140350877107,False,-283.20565000000056,loser
SOXX,0.020134228187920104,0.7449664429530247,False,-176.99945000000193,loser
MPC,0.2753623188405842,1.1860386473429998,False,-447.5888549999986,loser
GLD,0.0972222222222129,1.2222222222222574,False,-102.68551999999988,loser
CRWD,0.725274725274732,1.4065934065934131,False,-382.1921249999986,loser
PLTR,0.9565217391304431,1.0434782608695723,False,-88.31941999999853,loser
AMAT,0.8872180451127776,0.7819548872180508,False,-174.65388000000098,loser
NVDA,1.4838709677419444,0.1290322580645139,False,81.95140000000143,winner
XLF,0.049999999999989345,0.675000000000016,False,-92.61741000000146,loser
NOW,1.6536585365853684,0.3317073170731745,False,222.71339999999896,winner
FCX,0.27419354838709337,1.016129032258067,False,-405.1992000000006,loser
ISRG,0.10915492957746546,0.6971830985915549,False,-169.47879000000054,loser
CVS,0.9803921568627489,0.20588235294118507,False,-29.92599000000041,loser
